id,name,birthdate,deathdate
6336,Peter Ostrum,11/1/1957,
6337,Peter Polycarpou,,
6338,Peter R. Hunt,3/11/1925,8/14/2002
6339,Peter Ramsey,,
6340,Peter Riegert,4/11/1947,
6341,Peter Sallis,2/1/1921,
6342,Peter Scolari,9/12/1955,
6343,Peter Segal,,
6344,Peter Serafinowicz,7/10/1972,
6345,Peter Sohn,10/3/1959,
6346,Peter Sollett,,
6347,Peter Spellos,,
6348,Peter Stebbings,2/28/1971,
6349,Peter Stickles,10/8/1976,
6350,Peter Ustinov,4/16/1921,3/28/2004
6351,Peter Vaughan,4/4/1923,12/6/2016
6352,Peter Webber,,
6353,Peter Weir,8/21/1944,
6354,Peter Wingfield,9/5/1962,
6355,Peter Yates,7/24/1929,1/9/2011
6356,Peter Youngblood Hills,1/28/1978,
6357,Petter Næss,3/14/1960,
6358,Peyman Moaadi,,
6359,Peyton Reed,7/3/1964,
6360,Pfeifer Brown,,
6361,Phaldut Sharma,,
6362,Phil Alden Robinson,3/1/1950,
6363,Phil Claydon,1/9/1976,
6364,Phil Collins,1/30/1951,
6365,Phil Davis,7/30/1953,
6366,Phil Fish,,
6367,Phil Hartman,9/24/1948,5/28/1998
6368,Phil Joanou,11/20/1961,
6369,Phil LaMarr,1/24/1967,
6370,Phil Leeds,4/6/1916,8/16/1998
6371,Phil Lord,7/12/1975,
6372,Phil Morrison,,
6373,Phil Silvers,5/11/1911,11/1/1985
6374,Phil Traill,6/6/1973,
6375,Phil Vischer,6/16/1966,
6376,Philip Baker Hall,9/10/1931,
6377,Philip Friedman,,
6378,Philip G. Atwell,,
6379,Philip Glenister,2/10/1963,
6380,Philip Kaufman,10/23/1936,
6381,Philip Saville,10/28/1930,12/22/2016
6382,Philip Seymour Hoffman,7/23/1967,2/2/2014
6383,Philip Winchester,3/24/1981,
6384,Philip Zlotorynski,2/25/1975,
6385,Philippe Labro,8/27/1936,
6386,Philippe Leroy,10/15/1930,
6387,Philippe Nahon,12/24/1938,
6388,Philippe Noiret,10/1/1930,11/23/2006
6389,Philippe Petit,,
6390,Phill Lewis,9/4/1968,
6391,Phillip Noyce,4/29/1950,
6392,Phoebe Cates,7/16/1963,
6393,Phoebe Legere,,
6394,Phylicia Rashad,6/19/1948,
6395,Phyllida Law,5/8/1932,
6396,Phyllida Lloyd,6/17/1957,
6397,Phyllis Diller,7/17/1917,8/20/2012
6398,Phyllis Smith,7/10/1951,
6399,Pierfrancesco Favino,8/24/1969,
6400,Piero Maggiò,6/5/1964,
6401,Pierre Coffin,,
6402,Pierre Dulat,8/22/1959,
6403,Pierre Morel,5/12/1964,
6404,Pierre Perrier,,
6405,Pierre Prieur,,
6406,Pink,9/8/1979,
6407,Pip Torrens,6/2/1960,
6408,Piper Laurie,1/22/1932,
6409,Piper Mackenzie Harris,1/26/2000,
6410,Pitof,7/4/1957,
6411,Pixie Davies,,
6412,Piyush Dinker Pandya,4/12/1968,
6413,Polly Noonan,,
6414,Polly Walker,5/19/1966,
6415,Pollyanna McIntosh,3/15/1979,
6416,Poppy Montgomery,6/15/1972,
6417,Portia de Rossi,1/31/1973,
6418,Portia Doubleday,6/22/1988,
6419,Pou-Soi Cheang,,
6420,Powers Boothe,6/1/1948,
6421,Prabhas,10/23/1979,
6422,Prabhudheva,,
6423,Prachya Pinkaew,9/2/1962,
6424,Prateik,,
6425,Preity Zinta,1/31/1975,
6426,Preston A. Whitmore II,6/26/1962,
6427,Priscilla Presley,5/24/1945,
6428,Pruitt Taylor Vince,7/5/1960,
6429,Purab Kohli,,
6430,Purva Bedi,3/12/1974,
6431,Puti Sri Candra Dewi,,
6432,Q'orianka Kilcher,2/11/1990,
6433,Qasim Basir,,
6434,Qi Shu,4/16/1976,
6435,Qiu Yuen,,
6436,Quentin Dupieux,,
6437,Quentin Tarantino,3/27/1963,
6438,Quincy Jones,3/14/1933,
6439,Quinton Aaron,8/15/1984,
6440,Quvenzhané Wallis,8/28/2003,
6441,Quynn Ton,,
6442,R. Balki,,
6443,R. Brandon Johnson,,
6444,R. Marcos Taylor,,
6445,R.J. Cutler,,
6446,Rab Affleck,1/30/1953,
6447,Rachael Carpani,8/24/1980,
6448,Rachael Harris,1/12/1968,
6449,Rachel Alig,,
6450,Rachel Ann Mullins,,
6451,Rachel Blakely,7/28/1968,
6452,Rachel Blanchard,3/19/1976,
6453,Rachel Brosnahan,12/15/1990,
6454,Rachel Crow,,
6455,Rachel Dratch,2/22/1966,
6456,Rachel Goldenberg,,
6457,Rachel Griffiths,12/18/1968,
6458,Rachel Hendrix,,
6459,Rachel Korine,4/4/1986,
6460,Rachel Nash,,
6461,Rachel Perkins,,
6462,Rachel Roberts,9/20/1927,11/26/1980
6463,Rachel Skarsten,4/23/1985,
6464,Rachel Sterling,11/11/1979,
6465,Rachel Talalay,8/16/1958,
6466,Rachel Ticotin,11/1/1958,
6467,Rachel True,11/15/1966,
6468,Radha Mitchell,11/12/1973,
6469,Radivoje Bukvic,11/20/1979,
6470,Rae Dawn Chong,2/28/1961,
6471,Rae'Ven Kelly,6/28/1985,
6472,Rafa Lara,,
6473,Rafe Spall,3/10/1983,
6474,Rai Alexandra,,
6475,Rain,,
6476,Rainn Wilson,1/20/1966,
6477,Raja Gosnell,12/9/1958,
6478,Raja Menon,,
6479,Rajkumar Hirani,11/20/1962,
6480,Rakesh Roshan,9/6/1949,
6481,Rakeysh Omprakash Mehra,7/7/1963,
6482,Rakie Ayola,,
6483,Ralitsa Paskaleva,,
6484,Ralph Bellamy,6/17/1904,11/29/1991
6485,Ralph Brown,6/18/1957,
6486,Ralph Fiennes,12/22/1962,
6487,Ralph Ineson,12/15/1969,
6488,Ralph Nelson,8/12/1916,12/21/1987
6489,Ralph Richardson,12/19/1902,10/10/1983
6490,Ralph Ziman,,
6491,Ramaa Mosley,10/29/1978,
6492,Rami Malek,5/12/1981,
6493,Ramon Rodriguez,,
6494,Ranbir Kapoor,9/28/1982,
6495,Rand Ravich,,
6496,Randal Kleiser,7/20/1946,
6497,Randall 'Tex' Cobb,5/7/1950,
6498,Randall Duk Kim,9/24/1943,
6499,Randall Miller,,
6500,Randall Park,,
6501,Randall Rubin,,
6502,Randall Wallace,7/28/1949,
6503,Randeep Hooda,,
6504,Randy Couture,6/22/1963,
6505,Randy Jay Burrell,8/16/1986,
6506,Randy Jones,,
6507,Randy Moore,4/10/1984,
6508,Randy Quaid,10/1/1950,
6509,Randy Wayne,8/7/1981,
6510,Rania Attieh,,
6511,Ranin Karim,,
6512,Ransford Doherty,,
6513,Raoul Bova,8/14/1971,
6514,Raoul Max Trujillo,5/8/1955,
6515,Raphael Barker,,
6516,Raphael Sbarge,2/12/1964,
6517,Rapulana Seiphemo,11/4/1967,
6518,Raquel Alessi,3/7/1983,
6519,Raquel Elizabeth Ames,,
6520,Raquel Nave,,
6521,Raquel Welch,9/5/1940,
6522,Rasheed Naz,9/9/1948,
6523,Raul Julia,3/9/1940,10/24/1994
6524,Raven Goodwin,6/24/1992,
6525,Raven-Symoné,12/10/1985,
6526,Rawiri Paratene,,
6527,Rawson Marshall Thurber,2/9/1975,
6528,Ray Charles,9/23/1930,6/10/2004
6529,Ray Griggs,,
6530,Ray Lawrence,,
6531,Ray McKinnon,11/15/1957,
6532,Ray Milland,1/3/1905,3/10/1986
6533,Ray Nicholas,,
6534,Ray Romano,12/21/1957,
6535,Ray Walston,12/2/1914,1/1/2001
6536,Ray Winstone,2/19/1957,
6537,Raymond Burr,5/21/1917,9/12/1993
6538,Raymond Cruz,7/9/1961,
6539,Raymond De Felitta,6/30/1964,
6540,Raymond J. Barry,3/14/1939,
6541,Raza Jaffrey,5/28/1975,
6542,Razaaq Adoti,,
6543,Reba McEntire,3/28/1955,
6544,Rebecca Black,6/21/1997,
6545,Rebecca Budig,6/26/1973,
6546,Rebecca Dayan,,
6547,Rebecca De Mornay,8/29/1959,
6548,Rebecca Gayheart,8/12/1971,
6549,Rebecca Mader,4/24/1977,
6550,Rebecca Miller,9/15/1962,
6551,Red Skelton,7/18/1913,9/17/1997
6552,Reda Kateb,7/22/1977,
6553,Redd Foxx,12/9/1922,10/11/1991
6554,Reece Ritchie,7/23/1986,
6555,Reece Thompson,11/22/1988,
6556,Reed Cowan,7/24/1972,
6557,Reef Ireland,,
6558,Reese Mishler,,
6559,Reeve Carney,4/18/1983,
6560,Reg E. Cathey,8/18/1958,
6561,Regardt van den Bergh,,
6562,Reggie Lee,,
6563,Regi Davis,,
6564,Regina Casé,,
6565,Regina Hall,12/12/1970,
6566,Reginald Ballard,,
6567,Reginald Hudlin,12/15/1961,
6568,Reginald Owen,1887-08-05,11/5/1972
6569,Reginald VelJohnson,8/16/1952,
6570,Reid Ewing,,
6571,Reiner Schwarz,,8/30/2014
6572,Reinhard Klooss,,
6573,Rekha,10/10/1954,
6574,Rekha Sharma,,
6575,Remo,7/27/1943,
6576,Rene Auberjonois,6/1/1940,
6577,René Féret,,
6578,Rene Rosado,,
6579,Rene Russo,2/17/1954,
6580,Renée Adorée,,
6581,Renee Faia,,
6582,Renee Leblanc,,
6583,Renee Olstead,6/18/1989,
6584,Renny Harlin,3/15/1959,
6585,Reuben Langdon,7/19/1975,
6586,Revathy,7/8/1966,
6587,Rex Baker,1884-02-08,12/2/1953
6588,Rex Harrison,3/5/1908,6/2/1990
6589,Rex Linn,11/13/1956,
6590,Reza Sixo Safai,,
6591,Rhea Perlman,3/31/1948,
6592,Rhonda Fleming,8/10/1923,
6593,Rhys Coiro,3/12/1979,
6594,Rhys Wakefield,11/20/1988,
6595,Rian Bishop,5/15/1976,
6596,Rian Johnson,12/17/1973,
6597,Ric Roman Waugh,2/20/1968,
6598,Ricardo Chavira,9/1/1971,
6599,Ricardo Darín,,
6600,Ricardo Montalban,11/25/1920,1/14/2009
6601,Riccardo Scamarcio,11/13/1979,
6602,Rich Ceraulo,3/27/1977,
6603,Rich Christiano,10/2/1956,
6604,Rich Cowan,,
6605,Rich Moore,5/10/1963,
6606,Rich Pecci,5/1/1973,
6607,Richard Anderson,,
6608,Richard Attenborough,8/29/1923,8/24/2014
6609,Richard Ayoade,6/12/1977,
6610,Richard Basehart,8/31/1914,9/17/1984
6611,Richard Benjamin,5/22/1938,
6612,Richard Beymer,2/20/1938,
6613,Richard Boddington,,
6614,Richard Brake,2/21/1949,3/17/2016
6615,Richard Brancatisano,10/29/1983,
6616,Richard Briers,1/14/1934,2/17/2013
6617,Richard Brooker,11/20/1954,4/8/2013
6618,Richard Brooks,5/18/1912,3/11/1992
6619,Richard Bull,6/26/1924,2/3/2014
6620,Richard Burgi,7/30/1958,
6621,Richard Burton,11/10/1925,8/5/1984
6622,Richard Cabral,,
6623,Richard Cawthorne,12/3/1976,
6624,Richard Cetrone,,
6625,Richard Coyle,2/27/1972,
6626,Richard Crenna,11/30/1926,1/17/2003
6627,Richard Curtis,11/8/1956,
6628,Richard Dawson,11/20/1932,6/2/2012
6629,Richard Donner,4/24/1930,
6630,Richard Dutcher,,
6631,Richard Dysart,3/30/1929,4/5/2015
6632,Richard E. Grant,5/5/1957,
6633,Richard Epcar,4/29/1955,
6634,Richard Eyre,3/28/1943,
6635,Richard Farnsworth,9/1/1920,10/6/2000
6636,Richard Fleischer,12/8/1916,3/25/2006
6637,Richard Gant,5/5/1957,
6638,Richard Glatzer,1/28/1952,3/10/2015
6639,Richard Glover,,
6640,Richard Graham,,
6641,Richard Howland,,
6642,Richard J. Lewis,,
6643,Richard Jaeckel,10/10/1926,6/14/1997
6644,Richard Jewell,,
6645,Richard Johnson,,
6646,Richard Kelly,3/28/1975,
6647,Richard Kwietniowski,3/17/1957,
6648,Richard LaGravenese,10/30/1959,
6649,Richard Lawson,11/20/1932,6/2/2012
6650,Richard Lester,1/19/1932,
6651,Richard Libertini,5/21/1933,1/7/2016
6652,Richard Linklater,7/30/1960,
6653,Richard Loncraine,10/20/1946,
6654,Richard Lynch,2/12/1940,6/19/2012
6655,Richard Marquand,9/22/1937,9/4/1987
6656,Richard Masur,11/20/1948,
6657,Richard Moll,1/13/1943,
6658,Richard Montoya,,
6659,Richard Norton,6/12/1928,
6660,Richard Portnow,,
6661,Richard Raymond,,
6662,Richard Rich,9/9/1966,
6663,Richard Roundtree,7/9/1942,
6664,Richard Roxburgh,1/23/1962,
6665,Richard Sammel,8/29/1923,8/24/2014
6666,Richard Schenkman,3/6/1958,
6667,Richard Schiff,5/27/1955,
6668,Richard Shepard,,
6669,Richard Spore,3/23/1948,
6670,Richard T. Jones,11/12/1931,12/12/1988
6671,Richard Thomas,6/13/1951,
6672,Richard Tyson,2/13/1961,
6673,Richard Wallace,2/12/1948,
6674,Richard Williams,11/10/1963,
6675,Richard Wilson,7/9/1936,
6676,Rick Aviles,10/14/1952,3/17/1995
6677,Rick Bieber,,
6678,Rick de Oliveira,7/23/1968,
6679,Rick Dial,3/9/1955,5/28/2011
6680,Rick Famuyiwa,6/18/1973,
6681,Rick Fox,,
6682,Rick Friedberg,,
6683,Rick Gomez,6/1/1972,
6684,Rick Gonzalez,6/30/1979,
6685,Rick Hoffman,6/12/1970,
6686,Rick Macy,10/18/1953,
6687,Rick Rosenthal,6/15/1949,
6688,Rick Rossovich,8/28/1957,
6689,Rick Worthy,3/12/1967,
6690,Rick Yune,8/22/1971,
6691,Ricki Stern,,
6692,Ricky Catter,,
6693,Ricky Gervais,6/25/1961,
6694,Ricky Jay,,
6695,Ricky Martin,12/24/1971,
6696,Ricky Schroder,4/13/1970,
6697,Ridley Scott,11/30/1937,
6698,Rie Miyazawa,4/6/1973,
6699,Rie Rasmussen,2/14/1976,
6700,Rijk de Gooyer,12/17/1925,11/2/2011
6701,Riki Lindhome,3/5/1979,
6702,Rila Fukushima,,
6703,Riley Smith,4/12/1978,
6704,Riley Thomas Stewart,,
6705,Ringo Lam,,
6706,Ringo Starr,7/7/1940,
6707,Rip Torn,2/6/1931,
6708,Risa Bramon Garcia,,
6709,Rita Davies,,
6710,Rita Hayworth,10/17/1918,5/14/1987
6711,Rita Maiden,,
6712,Rita Merson,,
6713,Rita Moreno,12/11/1931,
6714,Rita Wilson,10/26/1956,
6715,Ritchie Coster,7/1/1967,
6716,Ritchie Montgomery,,
6717,Riteish Deshmukh,12/17/1978,
6718,Ritesh Batra,6/12/1979,
6719,Riz Ahmed,12/1/1982,
6720,Rizwan Manji,10/17/1974,
6721,Rob Bowman,5/15/1960,
6722,Rob Brown,,
6723,Rob Brydon,5/3/1965,
6724,Rob Campbell,,
6725,Rob Cohen,7/15/1941,
6726,Rob Hawk,,
6727,Rob Hedden,,
6728,Rob Huebel,6/4/1969,
6729,Rob Jarvis,,
6730,Rob Letterman,,
6731,Rob Marshall,10/17/1960,
6732,Rob McElhenney,4/14/1977,
6733,Rob McKittrick,,
6734,Rob Minkoff,,
6735,Rob Moran,,
6736,Rob Morrow,9/21/1962,
6737,Rob Paulsen,3/11/1956,
6738,Rob Pritts,,
6739,Rob Reiner,3/6/1947,
6740,Rob Riggle,4/21/1970,
6741,Rob Schmidt,9/25/1965,
6742,Rob Zombie,5/6/1962,
6743,Robb Wells,,
6744,Robbie Barnes,8/6/1942,
6745,Robbie Kay,9/13/1995,
6746,Robby Henson,1/21/1956,
6747,Robert Adetuyi,,
6748,Robert Altman,2/20/1925,11/20/2006
6749,Robert Amaya,,
6750,Robert B. Weide,6/20/1959,
6751,Robert Baker,,
6752,Robert Beltran,11/19/1953,
6753,Robert Ben Garant,9/14/1970,
6754,Robert Bennett,,
6755,Robert Blake,9/18/1933,
6756,Robert Butler,11/17/1927,
6757,Robert C. Cooper,10/14/1968,
6758,Robert Capron,7/9/1998,
6759,Robert Cary,12/11/1966,
6760,Robert Clohessy,6/10/1957,
6761,Robert Costanzo,,
6762,Robert D. Webb,9/29/1972,
6763,Robert Davi,6/26/1951,
6764,Robert De Niro,8/17/1943,
6765,Robert Downey Jr.,4/4/1965,
6766,Robert Duvall,1/5/1931,
6767,Robert Eggers,,
6768,Robert Fontaine,1/19/1908,5/13/1965
6769,Robert Forster,7/13/1941,
6770,Robert Foxworth,11/1/1941,
6771,Robert Greenwald,8/28/1945,
6772,Robert Hall,,
6773,Robert Harmon,,
6774,Robert Heath,,
6775,Robert Hobbs,,
6776,Robert Iscove,7/4/1947,
6777,Robert J. Wilke,5/18/1914,3/28/1989
6778,Robert John Burke,9/12/1960,
6779,Robert Kennedy Jr.,1/17/1954,
6780,Robert Kenner,,
6781,Robert Lee King,,
6782,Robert Longstreet,,
6783,Robert Lopez,2/23/1975,
6784,Robert Lorenz,,
6785,Robert Luketic,11/1/1973,
6786,Robert M. Young,2/22/1907,7/21/1998
6787,Robert Maillet,10/26/1969,
6788,Robert Marcarelli,,
6789,Robert McKee,,
6790,Robert Miano,9/25/1942,
6791,Robert Mitchum,8/6/1917,7/1/1997
6792,Robert Moresco,,
6793,Robert Mulligan,8/23/1925,12/20/2008
6794,Robert Neary,3/8/1965,
6795,Robert Noble,,
6796,Robert Pattinson,5/13/1986,
6797,Robert Peters,7/20/1961,
6798,Robert Picardo,10/27/1953,
6799,Robert Pine,7/10/1941,
6800,Robert Pralgo,6/4/1966,
6801,Robert Prosky,12/13/1930,12/8/2008
6802,Robert Redford,8/18/1936,
6803,Robert Ri'chard,1/7/1983,
6804,Robert Rodriguez,6/20/1968,
6805,Robert Rossen,3/16/1908,2/18/1966
6806,Robert Rusler,9/20/1965,
6807,Robert Sarkies,,
6808,Robert Schwentke,,
6809,Robert Shaw,1837-10-10,1863-07-18
6810,Robert Stadlober,8/3/1982,
6811,Robert Stevenson,3/31/1905,4/30/1986
6812,Robert Stromberg,,
6813,Robert Taylor,8/5/1911,6/8/1969
6814,Robert Towne,11/23/1934,
6815,Robert Townsend,2/6/1957,
6816,Robert Turano,,
6817,Robert Urich,12/19/1946,4/16/2002
6818,Robert Vaughn,11/22/1932,11/11/2016
6819,Robert Wagner,2/10/1930,
6820,Robert Wahlberg,6/5/1971,
6821,Robert Wise,9/10/1914,9/14/2005
6822,Robert Zemeckis,5/14/1952,
6823,Roberta Valderrama,,
6824,Roberts Blossom,3/25/1924,7/8/2011
6825,Robin Atkin Downes,9/6/1976,
6826,Robin Bartlett,4/22/1951,
6827,Robin Budd,,
6828,Robin Givens,11/27/1964,
6829,Robin Lord Taylor,6/4/1978,
6830,Robin McLeavy,6/19/1981,
6831,Robin Sachs,2/5/1951,2/1/2013
6832,Robin Shou,7/17/1960,
6833,Robin Weigert,7/7/1969,
6834,Robin Williams,7/21/1951,8/11/2014
6835,Robin Wright,4/8/1966,
6836,Robinne Lee,7/16/1974,
6837,Robinson Devor,,
6838,Robyn Lively,2/7/1972,
6839,Rock Hudson,11/17/1925,10/2/1985
6840,Rod Lurie,5/15/1962,
6841,Rod Steiger,4/14/1925,7/9/2002
6842,Roddy McDowall,9/17/1928,10/3/1998
6843,Rodger Bumpass,11/20/1951,
6844,Rodman Flender,6/9/1962,
6845,Rodney Dangerfield,11/22/1921,10/5/2004
6846,Rodney Eastman,7/20/1967,
6847,Rodrigo Cortés,,
6848,Rodrigo De la Serna,4/18/1976,
6849,Rodrigo García,8/24/1959,
6850,Roger Allam,10/26/1953,
6851,Roger Allers,,
6852,Roger Ashton-Griffiths,1/19/1957,
6853,Roger Avary,8/23/1965,
6854,Roger Bart,9/29/1962,
6855,Roger Christian,2/25/1944,
6856,Roger Cross,9/16/1973,
6857,Roger Donaldson,11/15/1945,
6858,Roger Guenveur Smith,7/27/1955,
6859,Roger Jackson,7/13/1958,
6860,Roger Kumble,5/28/1966,
6861,Roger Lloyd Pack,2/8/1944,1/15/2014
6862,Roger Michell,6/5/1956,
6863,Roger Nygard,3/28/1962,
6864,Roger Rees,5/5/1944,7/10/2015
6865,Roger Spottiswoode,1/5/1945,
6866,Roger Vadim,1/26/1928,2/11/2000
6867,Roger Willie,,
6868,Rohan Sippy,,
6869,Rohit Jagessar,,
6870,Rohit Jugraj,,
6871,Roland Emmerich,11/10/1955,
6872,Roland Joffé,11/17/1945,
6873,Roland Suso Richter,1/7/1961,
6874,Rolando Molina,8/13/1971,
6875,Rollo Weeks,3/20/1987,
6876,Roma Downey,5/6/1960,
6877,Roma Maffia,5/31/1958,
6878,Romain Duris,5/28/1974,
6879,Roman Polanski,8/18/1933,
6880,Romane Bohringer,8/14/1973,
6881,Romany Malco,11/18/1968,
6882,Romeo Miller,8/19/1989,
6883,Romesh Sharma,7/27/1947,
6884,Romi Aboulafia,1/21/1984,
6885,Romola Garai,8/6/1982,
6886,Ron Clements,4/25/1953,
6887,Ron Eldard,2/20/1965,
6888,Ron Fricke,,
6889,Ron Gelner,,
6890,Ron Howard,3/1/1954,
6891,Ron Lester,3/8/1959,
6892,Ron Maxwell,,
6893,Ron Moody,1/8/1924,6/11/2015
6894,Ron Palillo,4/2/1949,8/14/2012
6895,Ron Rifkin,10/31/1939,
6896,Ron Roggé,10/16/1968,
6897,Ron Shelton,,
6898,Ron Silver,7/2/1946,3/15/2009
6899,Ron Underwood,11/6/1953,
6900,Ronald Colman,1891-02-09,5/19/1958
6901,Ronald Neame,4/23/1911,6/16/2010
6902,Ronald Pickup,6/7/1940,
6903,Ronald Reagan,4/19/1937,
6904,Ronan Chapalain,,
6905,Ronee Collins,,
6906,Ronit Elkabetz,11/27/1964,4/19/2016
6907,Ronnie Gene Blevins,6/20/1977,
6908,Ronnie Lazaro,11/14/1957,
6909,Ronny Cox,,
6910,Ronny Dayag,,
6911,Ronny Yu,,
6912,Rorke Denver,,
6913,Rory Cochrane,2/28/1972,
6914,Rory Culkin,7/21/1989,
6915,Rory Kinnear,2/17/1978,
6916,Rosa Salazar,,
6917,Rosalind Ayres,12/7/1946,
6918,Rosalind Chao,9/23/1957,
6919,Rosalind Harris,,
6920,Rosanna Arquette,8/10/1959,
6921,Rosanna DeSoto,9/2/1950,
6922,Rosario Dawson,5/9/1979,
6923,Roschdy Zem,9/28/1965,
6924,Roscoe Lee Browne,5/2/1922,4/11/2007
6925,Rose Marie,8/15/1923,
6926,Roseanne Barr,11/3/1952,
6927,Rosemarie DeWitt,10/26/1971,
6928,Roshan Seth,4/2/1942,
6929,Rosie O'Donnell,3/21/1962,
6930,Rosie Perez,9/6/1964,
6931,Rosie Traynor,,
6932,Ross Elliott,6/18/1917,8/12/1999
6933,Rowan Isaacson,,
6934,Rowan Joffe,,
6935,Rowdy Herrington,,
6936,Roxane Duran,,
6937,Roxanne McKee,8/10/1980,
6938,Roy Billing,,
6939,Roy Dupuis,4/21/1963,
6940,Roy Scheider,11/10/1932,2/10/2008
6941,Royal Dano,11/16/1922,5/15/1994
6942,Ruairi Robinson,2/15/1978,
6943,Ruba Nadda,12/6/1972,
6944,Ruben Fleischer,10/31/1974,
6945,Ruby Dee,10/27/1922,6/11/2014
6946,Ruby Harris,,
6947,Ruby Jerins,4/10/1998,
6948,Ruby Lin,1/27/1976,
6949,Rüdiger Vogler,5/14/1942,
6950,Rudolf Klein-Rogge,1885-11-24,4/30/1955
6951,Rudy Youngblood,9/21/1982,
6952,Rufus Graham,,
6953,Rufus Sewell,10/29/1967,
6954,Ruggero Deodato,5/7/1939,
6955,Rumer Willis,8/16/1988,
6956,Rumi Hiiragi,8/1/1987,
6957,Rumi Missabu,,
6958,Rupert Evans,3/9/1976,
6959,Rupert Everett,5/29/1959,
6960,Rupert Graves,6/30/1963,
6961,Rupert Grint,8/24/1988,
6962,Rupert Sanders,3/16/1971,
6963,Rupert Wainwright,11/30/1961,
6964,Rupert Wyatt,10/26/1972,
6965,Rus Blackwell,3/23/1963,
6966,Russ Meyer,3/21/1922,9/18/2004
6967,Russ Tamblyn,12/30/1934,
6968,Russell Crowe,4/7/1964,
6969,Russell Friedenberg,2/10/1968,
6970,Russell Hodgkinson,8/14/1959,
6971,Russell Holt,,
6972,Russell Mulcahy,6/23/1953,
6973,Russell Peters,9/29/1970,
6974,Russell Tovey,11/14/1981,
6975,Russell Wong,3/1/1963,
6976,Russi Taylor,5/4/1944,
6977,Rusty Cundieff,12/13/1960,
6978,Ruth Negga,1/7/1982,
6979,Ruth Sheen,,
6980,Ruth Wilson,1/13/1982,
6981,Ryan Bollman,8/9/1972,
6982,Ryan Carnes,11/21/1982,
6983,Ryan Cartwright,3/14/1981,
6984,Ryan Coogler,5/23/1986,
6985,Ryan Corr,1/15/1989,
6986,Ryan Donowho,9/20/1980,
6987,Ryan Fleck,9/20/1976,
6988,Ryan Gosling,11/12/1980,
6989,Ryan Guzman,9/21/1987,
6990,Ryan Kennedy,12/6/1982,
6991,Ryan Kruger,,
6992,Ryan Little,3/28/1971,
6993,Ryan McDonald,,
6994,Ryan Murphy,11/30/1965,
6995,Ryan O'Neal,4/20/1941,
6996,Ryan Reynolds,10/23/1976,
6997,Ryan Robbins,11/26/1972,
6998,Ryan Smith,,
6999,Ryôko Hirosue,7/18/1980,
7000,Ryu Kohata,,
7001,Ryûhei Kitamura,5/30/1969,
7002,Ryûnosuke Kamiki,5/19/1993,
7003,RZA,7/5/1969,
7004,S. Epatha Merkerson,11/28/1952,
7005,S. William Hinzman,10/24/1936,2/5/2012
7006,S.R. Bindler,2/14/1970,
7007,S.S. Rajamouli,,
7008,Saad Siddiqui,4/24/1983,
7009,Sabrina Carmichael,7/11/1985,
7010,Sabrina Ferilli,6/28/1964,
7011,Sabrina Revelle,,
7012,Sacha Bennett,5/11/1971,
7013,Sachiko Ishida,9/12/1977,
7014,Sadyk Sher-Niyaz,3/10/1969,
7015,Saeed Jaffrey,1/8/1929,11/15/2015
7016,Saffron Burrows,10/22/1972,
7017,Sahajak Boonthanakit,,
7018,Sai Varadan,,
7019,Saïd Taghmaoui,7/19/1973,
7020,Saif Ali Khan,8/16/1970,
7021,Sajid Khan,8/16/1970,
7022,Sakae Kimura,9/6/1955,
7023,Sakina Jaffrey,2/14/1962,
7024,Sal Lopez,11/8/1954,
7025,Sal Mineo,1/10/1939,2/12/1976
7026,Salim Akil,6/22/1964,
7027,Salli Richardson-Whitfield,11/23/1967,
7028,Sally Hawkins,4/27/1976,
7029,Sally Kirkland,10/31/1941,
7030,Sally Potter,9/19/1949,
7031,Salma Hayek,9/2/1966,
7032,Salvador Carrasco,6/16/1967,
7033,Salvator Xuereb,11/17/1965,
7034,Salvatore Santone,7/7/1999,
7035,Sam Adams,,
7036,Sam Anderson,4/2/1947,
7037,Sam Claflin,6/27/1986,
7038,Sam Edwards,11/11/1959,
7039,Sam Fell,,
7040,Sam Firstenberg,3/13/1950,
7041,Sam J. Jones,8/12/1954,
7042,Sam Jaeger,1/29/1977,
7043,Sam Lerner,9/27/1992,
7044,Sam Levinson,,
7045,Sam Lloyd,11/12/1963,
7046,Sam Martin,,
7047,Sam McMurray,4/15/1952,
7048,Sam Medina,,
7049,Sam Mendes,8/1/1965,
7050,Sam Miller,9/28/1962,
7051,Sam Peckinpah,2/21/1925,12/28/1984
7052,Sam Raimi,10/23/1959,
7053,Sam Reid,2/19/1987,
7054,Sam Riley,1/8/1980,
7055,Sam Shepard,11/5/1943,
7056,Sam Taylor-Johnson,3/4/1967,
7057,Sam Trammell,1/29/1969,
7058,Sam Waterston,11/15/1940,
7059,Sam Weisman,,
7060,Samaire Armstrong,10/31/1980,
7061,Samantha Barks,10/2/1990,
7062,Samantha Buck,12/20/1974,
7063,Samantha Eggar,3/5/1939,
7064,Samantha Esteban,10/25/1979,
7065,Samantha Futerman,11/19/1987,
7066,Samantha Ivers,11/29/1982,
7067,Samantha Mathis,5/12/1970,
7068,Samantha McLeod,,
7069,Samantha Morton,5/13/1977,
7070,Sameer Ali Khan,,
7071,Sami Gayle,1/22/1996,
7072,Samira Wiley,,
7073,Samm Levine,3/12/1982,
7074,Sammo Kam-Bo Hung,1/7/1952,
